Data,Cidade, Condicao_do_Tempo_Prevista,Temperatura_Tendencia,Temperatura_Minima,Temperatura_Maxima,Vento_Velocidade_Minima,Vento_Velocidade_Maxima,Vento_Direcao,Vento_Intensidade
18/09/2022,Abaetetuba - PA,Poucas nuvens a parcialmente nublado,Estavel,25,34,60,100,E - NE,Fracos/Moderados
19/09/2022,Abaetetuba - PA,Poucas nuvens a parcialmente nublado com pancadas de chuva e trovoadas a tarde,Estavel,25,34,60,100,E - NE,Fracos/Moderados
20/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,34,50,95,SE - NE,Fracos/Moderados
21/09/2022,Abaetetuba - PA,Claro a parcialmente nublado,Estavel,23,34,50,95,SE - E,Fracos/Moderados
22/09/2022,Abaetetuba - PA,Claro a nublado,Estavel,23,35,50,95,E - NE,Fracos/Moderados
23/09/2022,Abaetetuba - PA,Claro a nublado,Estavel,23,35,50,95,E - NE,Fracos/Moderados
24/09/2022,Abaetetuba - PA,Claro a nublado,Estavel,24,34,50,95,E - NE,Fracos/Moderados
25/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,24,34,50,95,E - NE,Fracos/Moderados
26/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,35,50,95,E - NE,Fracos/Moderados
27/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,33,50,95,E - NE,Fracos/Moderados
28/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,33,50,95,E - NE,Fracos/Moderados
29/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,33,50,95,E - NE,Fracos/Moderados
01/09/2022,Abel Figueiredo - PA,Poucas nuvens com pancadas de chuva isoladas ao inicio da noite,Estavel,24,33,50,85,NE,Fracos
02/09/2022,Abel Figueiredo - PA,Poucas nuvens com possibilidade de chuva em areas isoladas entre o final da manha e o inicio da tarde,Estavel,22,37,35,95,NE,Fracos/Moderados
03/09/2022,Abel Figueiredo - PA,Poucas nuvens a claro com possibilidade de chuva em areas isoladas entre o final da tarde e o inicio da noite,Estavel,22,36,35,95,NE,Fracos/Moderados
04/09/2022,Abel Figueiredo - PA,Poucas nuvens com possibilidade de chuva em areas isoladas entre o final da tarde e o inicio da noite,Estavel,22,35,35,90,NE,Fracos/Moderados
05/09/2022,Abel Figueiredo - PA,Poucas nuvens com possibilidade de chuva em areas isoladas entre o final da tarde e o inicio da noite,Estavel,22,35,35,90,NE,Fracos/Moderados
06/09/2022,Abel Figueiredo - PA,Poucas nuvens a nublado,Estavel,20,34,35,95,E,Fracos/Moderados
07/09/2022,Abel Figueiredo - PA,Poucas nuvens a nublado,Estavel,20,34,35,95,E,Fracos/Moderados
08/09/2022,Abel Figueiredo - PA,Parcialmente nublado,Estavel,20,34,35,95,E,Fracos/Moderados
09/09/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,20,34,35,95,NE - E,Fracos/Moderados
10/09/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Elevacao,22,34,35,95,NE - E,Fracos/Moderados
11/09/2022,Abel Figueiredo - PA,Claro a nublado,Estavel,23,33,40,95,E - NE,Fracos/Moderados
12/09/2022,Abel Figueiredo - PA,Claro a nublado,Estavel,23,33,45,95,E - NE,Fracos/Moderados
13/09/2022,Abel Figueiredo - PA,Claro a parcialmente nublado com pancadas de chuva e trovoadas isoladas a noite,Estavel,22,34,45,95,NE - E,Fracos/Moderados
14/09/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,22,34,55,95,NE - E,Fracos/Moderados
15/09/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,22,34,55,95,NE - E,Fracos/Moderados
16/09/2022,Abel Figueiredo - PA,Claro a parcialmente nublado com pancadas de chuva e trovoadas a tarde,Estavel,22,34,45,95,NE - E,Fracos/Moderados
17/09/2022,Abel Figueiredo - PA,Poucas nuvens a parcialmente nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,22,34,55,95,NE - E,Fracos/Moderados
18/09/2022,Abel Figueiredo - PA,Poucas nuvens a parcialmente nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,22,34,55,95,NE - E,Fracos/Moderados
19/09/2022,Abel Figueiredo - PA,Poucas nuvens a parcialmente nublado,Estavel,22,34,55,95,NE - E,Fracos/Moderados
20/09/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,21,33,45,95,SE - NE,Fracos/Moderados
21/09/2022,Abel Figueiredo - PA,Claro a parcialmente nublado,Estavel,21,33,45,95,E - NE,Fracos/Moderados
22/09/2022,Abel Figueiredo - PA,Claro a nublado,Estavel,22,34,45,95,E - NE,Fracos/Moderados
23/09/2022,Abel Figueiredo - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,22,34,45,95,E - NE,Fracos/Moderados
24/09/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Declinio,21,32,55,95,E - NE,Fracos/Moderados
25/09/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,22,32,55,95,E - NE,Fracos/Moderados
26/09/2022,Abel Figueiredo - PA,Nublado a parcialmente nublado com pancadas de chuva isoladas pela manha e a tarde,Estavel,22,31,60,95,E - NE,Fracos/Moderados
27/09/2022,Abel Figueiredo - PA,Nublado a parcialmente nublado com pancadas de chuva isoladas pela manha e a tarde,Estavel,22,32,60,95,E - NE,Fracos/Moderados
28/09/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado,Estavel,23,33,60,95,E - NE,Fracos/Moderados
29/09/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado,Estavel,23,33,60,95,E - NE,Fracos/Moderados
01/09/2022,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas a tarde,Estavel,24,32,60,90,E - NE,Fracos/Moderados
02/09/2022,Acara - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde,Estavel,24,31,60,95,E - NE,Fracos/Moderados
03/09/2022,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,24,32,60,95,E - NE,Fracos/Moderados
04/09/2022,Acara - PA,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas a tarde e no inicio da noite,Estavel,24,33,60,95,E - NE,Fracos/Moderados
05/09/2022,Acara - PA,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas a tarde e no inicio da noite,Estavel,24,33,60,95,E - NE,Fracos/Moderados
06/09/2022,Acara - PA,Claro a nublado,Estavel,24,34,45,95,SE - E,Fracos/Moderados
07/09/2022,Acara - PA,Claro a nublado,Estavel,24,34,45,95,SE - E,Fracos/Moderados
08/09/2022,Acara - PA,Poucas nuvens a nublado,Estavel,23,34,45,95,SE - E,Fracos/Moderados
09/09/2022,Acara - PA,Poucas nuvens a nublado,Estavel,22,34,45,95,SE - E,Fracos/Moderados
10/09/2022,Acara - PA,Poucas nuvens a nublado,Estavel,22,34,45,95,SE - E,Fracos/Moderados
11/09/2022,Acara - PA,Claro a nublado com pancadas de chuva isoladas a tarde e a noite,Estavel,23,33,50,95,SE - NE,Fracos/Moderados
12/09/2022,Acara - PA,Claro a nublado com pancadas de chuva isoladas a tarde e a noite,Estavel,23,33,55,95,E - NE,Fracos/Moderados
13/09/2022,Acara - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde e no inicio da noite,Elevacao,23,34,50,100,E - NE,Fracos/Moderados
14/09/2022,Acara - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde e no inicio da noite,Estavel,23,34,50,100,E - NE,Fracos/Moderados
15/09/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,33,50,100,E - NE,Fracos/Moderados
16/09/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,33,50,100,E - NE,Fracos/Moderados
17/09/2022,Acara - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,33,50,100,E - NE,Fracos/Moderados
18/09/2022,Acara - PA,Poucas nuvens a parcialmente nublado,Estavel,23,33,50,100,E - NE,Fracos/Moderados
19/09/2022,Acara - PA,Poucas nuvens a parcialmente nublado,Estavel,23,34,50,100,E - NE,Fracos/Moderados
20/09/2022,Acara - PA,Claro a nublado,Estavel,23,33,45,95,SE - E,Fracos/Moderados
21/09/2022,Acara - PA,Claro a nublado,Estavel,23,33,45,95,SE - E,Fracos/Moderados
22/09/2022,Acara - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,23,34,45,95,E - NE,Fracos/Moderados
23/09/2022,Acara - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,23,34,45,95,E - NE,Fracos/Moderados
24/09/2022,Acara - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,33,50,95,E - NE,Fracos/Moderados
25/09/2022,Acara - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,33,50,95,E - NE,Fracos/Moderados
26/09/2022,Acara - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,34,50,95,E - NE,Fracos/Moderados
27/09/2022,Acara - PA,Claro a nublado,Estavel,23,34,50,95,E - NE,Fracos/Moderados
28/09/2022,Acara - PA,Claro a nublado,Estavel,23,34,50,95,E - NE,Fracos/Moderados
29/09/2022,Acara - PA,Claro a nublado,Estavel,23,34,50,95,E - NE,Fracos/Moderados
01/09/2022,Acrelandia - AC,Poucas nuvens,Estavel,20,32,30,75,N,Fracos
02/09/2022,Acrelandia - AC,Poucas nuvens,Estavel,20,32,40,80,NE,Fracos
03/09/2022,Acrelandia - AC,Poucas nuvens,Estavel,20,32,40,80,NE,Fracos
04/09/2022,Acrelandia - AC,Poucas nuvens,Estavel,21,33,40,75,NE,Fracos
05/09/2022,Acrelandia - AC,Poucas nuvens,Estavel,22,33,40,75,NE,Fracos
06/09/2022,Acrelandia - AC,Claro a parcialmente nublado,Estavel,21,35,35,95,SE - S,Fracos
07/09/2022,Acrelandia - AC,Claro a parcialmente nublado,Estavel,21,36,35,95,NW - N,Fracos
08/09/2022,Acrelandia - AC,Claro a parcialmente nublado,Estavel,22,34,40,90,NW - N,Fracos
09/09/2022,Acrelandia - AC,Claro a parcialmente nublado,Estavel,22,34,40,90,NW - N,Fracos
10/09/2022,Acrelandia - AC,Claro a parcialmente nublado,Estavel,22,34,40,90,NW - N,Fracos
11/09/2022,Acrelandia - AC,Claro a parcialmente nublado,Estavel,22,34,40,90,NW - N,Fracos
12/09/2022,Acrelandia - AC,Claro a parcialmente nublado,Estavel,22,34,40,90,NW - N,Fracos
13/09/2022,Acrelandia - AC,Claro a poucas nuvens,Estavel,21,34,45,95,NW - N,Fracos
14/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado,Estavel,23,35,45,95,NW - N,Fracos
15/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado,Estavel,23,35,45,95,NW - N,Fracos
16/09/2022,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,20,30,60,95,SE - N,Fracos
17/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,21,32,50,85,SE,Fracos
18/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,35,50,85,SE,Fracos
19/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,25,36,40,80,SE,Fracos
20/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,35,40,85,SE,Fracos
21/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas ao inicio da noite,Estavel,24,35,45,85,SE,Fracos
22/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,35,45,85,SE,Fracos
23/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas ao inicio da noite,Estavel,24,36,40,90,SE,Fracos
24/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas ao inicio da noite,Estavel,24,36,40,90,SE,Fracos
25/09/2022,Acrelandia - AC,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas ao inicio da noite,Estavel,24,36,40,90,SE,Fracos
27/09/2022,Acrelandia - AC,Claro a parcialmente nublado com possibilidade de chuva em areas isoladas,Estavel,22,36,40,95,W - NW,Fracos
28/09/2022,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas,Estavel,22,35,50,95,NW - N,Fracos
29/09/2022,Acrelandia - AC,Nublado a encoberto com pancadas de chuva e trovoadas,Declinio,21,27,60,100,SE - S,Fracos/Moderados
01/09/2022,Afua - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,24,34,55,95,E - NE,Fracos/Moderados
02/09/2022,Afua - PA,Parcialmente nublado a nublado com chuva e trovoadas entre o final da tarde e o inicio da noite,Estavel,24,35,55,90,E - NE,Fracos/Moderados
03/09/2022,Afua - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,24,34,55,90,E - NE,Fracos/Moderados
04/09/2022,Afua - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,34,55,90,E - NE,Fracos/Moderados
05/09/2022,Afua - PA,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,34,55,90,E - NE,Fracos/Moderados
06/09/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,35,55,95,SE - E,Fracos/Moderados
07/09/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,24,34,55,95,SE - E,Fracos/Moderados
08/09/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,24,34,55,95,SE - E,Fracos/Moderados
09/09/2022,Afua - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,24,34,55,95,SE - E,Fracos/Moderados
10/09/2022,Afua - PA,Claro a nublado,Estavel,24,35,50,95,SE - E,Fracos/Moderados
11/09/2022,Afua - PA,Claro a nublado,Estavel,23,34,55,95,E - NE,Fracos/Moderados
12/09/2022,Afua - PA,Claro a nublado,Estavel,23,34,55,95,E - NE,Fracos/Moderados
13/09/2022,Afua - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a noite,Elevacao,23,34,55,100,E - NE,Fracos/Moderados
14/09/2022,Afua - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a noite,Estavel,23,34,55,100,E - NE,Fracos/Moderados
15/09/2022,Afua - PA,Claro a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,34,55,100,E - NE,Fracos/Moderados
16/09/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,34,55,100,E - NE,Fracos/Moderados
17/09/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,34,55,100,E - NE,Fracos/Moderados
18/09/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,34,55,100,E - NE,Fracos/Moderados
19/09/2022,Afua - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,34,55,100,E - NE,Fracos/Moderados
20/09/2022,Afua - PA,Claro a nublado,Estavel,24,34,50,95,E - NE,Fracos/Moderados
21/09/2022,Afua - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,24,34,50,95,E - NE,Fracos/Moderados
22/09/2022,Afua - PA,Claro a nublado,Estavel,24,34,50,95,E - NE,Fracos/Moderados
23/09/2022,Afua - PA,Claro a nublado,Estavel,24,34,50,95,E - NE,Fracos/Moderados
24/09/2022,Afua - PA,Claro a nublado,Estavel,24,34,50,95,E - NE,Fracos/Moderados
25/09/2022,Afua - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,24,34,55,95,E - NE,Fracos/Moderados
26/09/2022,Afua - PA,Claro a nublado com pancadas de chuva isoladas a tarde e a noite,Estavel,24,34,55,95,E - NE,Fracos/Moderados
27/09/2022,Afua - PA,Claro a nublado,Estavel,24,33,55,95,E - NE,Fracos/Moderados
28/09/2022,Afua - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,24,33,55,95,E - NE,Fracos/Moderados
29/09/2022,Afua - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,24,33,55,95,E - NE,Fracos/Moderados
01/09/2022,Agua Azul do Norte - PA,Poucas nuvens com pancadas de chuva isoladas ao inicio da noite,Estavel,24,33,50,85,NE,Fracos
02/09/2022,Agua Azul do Norte - PA,Poucas nuvens com possibilidade de chuva em areas isoladas entre o final da manha e o inicio da tarde,Estavel,22,37,35,95,NE,Fracos/Moderados
03/09/2022,Agua Azul do Norte - PA,Poucas nuvens a claro com possibilidade de chuva em areas isoladas entre o final da tarde e o inicio da noite,Estavel,22,36,35,95,NE,Fracos/Moderados
04/09/2022,Agua Azul do Norte - PA,Poucas nuvens com possibilidade de chuva em areas isoladas entre o final da tarde e o inicio da noite,Estavel,22,35,35,90,NE,Fracos/Moderados
05/09/2022,Agua Azul do Norte - PA,Poucas nuvens com possibilidade de chuva em areas isoladas entre o final da tarde e o inicio da noite,Estavel,22,35,35,90,NE,Fracos/Moderados
06/09/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado,Estavel,20,37,25,95,NE - SE,Fracos/Moderados
07/09/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,20,36,25,95,NE - SE,Fracos/Moderados
08/09/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado,Estavel,20,36,25,95,NE - SE,Fracos/Moderados
09/09/2022,Agua Azul do Norte - PA,Claro a nublado,Estavel,19,36,30,95,NE - SE,Fracos/Moderados
10/09/2022,Agua Azul do Norte - PA,Claro a parcialmente nublado,Elevacao,21,36,30,95,NE - SE,Fracos/Moderados
11/09/2022,Agua Azul do Norte - PA,Claro a parcialmente nublado,Estavel,21,36,30,95,E - NE,Fracos/Moderados
12/09/2022,Agua Azul do Norte - PA,Claro a parcialmente nublado,Declinio,21,34,40,95,E - NE,Fracos/Moderados
13/09/2022,Agua Azul do Norte - PA,Claro a parcialmente nublado,Estavel,19,36,25,90,SE - E,Fracos/Moderados
14/09/2022,Agua Azul do Norte - PA,Claro a parcialmente nublado,Estavel,22,34,30,90,SE - E,Fracos/Moderados
15/09/2022,Agua Azul do Norte - PA,Claro a parcialmente nublado com possibilidade de chuva em areas isoladas a noite,Estavel,22,33,30,90,SE - E,Fracos/Moderados
16/09/2022,Agua Azul do Norte - PA,Claro a parcialmente nublado,Estavel,22,34,30,100,SE - NE,Fracos/Moderados
17/09/2022,Agua Azul do Norte - PA,Poucas nuvens a parcialmente nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,22,34,40,100,SE - NE,Fracos/Moderados
18/09/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,22,34,40,100,SE - NE,Fracos/Moderados
19/09/2022,Agua Azul do Norte - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,22,34,40,100,SE - NE,Fracos/Moderados
20/09/2022,Agua Azul do Norte - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,22,34,40,95,E - NE,Fracos/Moderados
21/09/2022,Agua Azul do Norte - PA,Claro a nublado,Estavel,22,34,40,95,E - NE,Fracos/Moderados
22/09/2022,Agua Azul do Norte - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,22,34,40,95,E - NE,Fracos/Moderados
23/09/2022,Agua Azul do Norte - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,22,34,40,95,E - NE,Fracos/Moderados
24/09/2022,Agua Azul do Norte - PA,Nublado a encoberto com chuva e trovoadas a qualquer hora do dia,Declinio,20,31,60,95,E - NE,Fracos/Moderados
25/09/2022,Agua Azul do Norte - PA,Parcialmente nublado a encoberto com chuva e trovoadas a qualquer hora do dia,Elevacao,22,31,60,100,E - NE,Fracos/Moderados
26/09/2022,Agua Azul do Norte - PA,Nublado a parcialmente nublado com pancadas de chuva isoladas pela manha e a tarde,Estavel,22,32,55,95,E - NE,Fracos/Moderados
27/09/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado,Estavel,22,32,50,90,E - NE,Fracos/Moderados
28/09/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado,Estavel,22,32,50,90,E - NE,Fracos/Moderados
29/09/2022,Agua Azul do Norte - PA,Parcialmente nublado a nublado,Estavel,22,32,50,90,E - NE,Fracos/Moderados
02/09/2022,Alcantara - MA,Nublado a claro com pancadas de chuva isoladas a tarde,Estavel,24,31,60,100,E - NE,Fracos/Moderados
03/09/2022,Alcantara - MA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,26,32,65,100,E - NE,Fracos/Moderados
04/09/2022,Alcantara - MA,Claro a parcialmente nublado,Estavel,25,32,65,90,E - NE,Fracos/Moderados
05/09/2022,Alcantara - MA,Parcialmente nublado a claro,Estavel,26,31,60,95,E - NE,Fracos/Moderados
13/09/2022,Alcantara - MA,Claro a nublado,Estavel,25,33,55,95,SE - E,Fracos/Moderados
14/09/2022,Alcantara - MA,Claro a nublado,Estavel,25,34,50,95,SE - E,Fracos/Moderados
15/09/2022,Alcantara - MA,Poucas nuvens a nublado com pancadas de chuva isoladas a tarde,Declinio,25,32,60,95,SE - NE,Fracos/Moderados
16/09/2022,Alcantara - MA,Poucas nuvens a parcialmente nublado,Estavel,25,32,60,95,SE - NE,Fracos/Moderados
17/09/2022,Alcantara - MA,Parcialmente nublado a claro,Estavel,25,32,60,95,SE - E,Fracos/Moderados
18/09/2022,Alcantara - MA,Parcialmente nublado a claro,Estavel,25,32,60,95,SE - E,Fracos/Moderados
19/09/2022,Alcantara - MA,Parcialmente nublado a claro,Estavel,25,32,60,95,SE - E,Fracos/Moderados
20/09/2022,Alcantara - MA,Claro a parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,26,33,60,100,E - NE,Fracos/Moderados
21/09/2022,Alcantara - MA,Claro a parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,26,33,60,100,E - NE,Fracos/Moderados
22/09/2022,Alcantara - MA,Claro a parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,26,33,55,100,E - NE,Fracos/Moderados
23/09/2022,Alcantara - MA,Claro a parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,26,33,55,100,E - NE,Fracos/Moderados
24/09/2022,Alcantara - MA,Claro a parcialmente nublado,Estavel,26,33,55,95,E - NE,Fracos/Moderados
25/09/2022,Alcantara - MA,Claro a nublado com chuva em areas isoladas a tarde,Estavel,25,32,60,95,E - NE,Fracos/Moderados
26/09/2022,Alcantara - MA,Claro a parcialmente nublado,Estavel,26,33,55,95,E - NE,Fracos/Moderados
27/09/2022,Alcantara - MA,Parcialmente nublado com chuva em areas isoladas a tarde,Estavel,26,32,55,100,E - NE,Fracos/Moderados
28/09/2022,Alcantara - MA,Claro a nublado com chuva em areas isoladas a tarde,Estavel,25,32,60,95,E - NE,Fracos/Moderados
29/09/2022,Alcantara - MA,Claro a parcialmente nublado,Estavel,26,33,55,95,E - NE,Fracos/Moderados
01/09/2022,Alenquer - PA,Poucas nuvens a parcialmente nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,24,33,50,85,NE,Fracos
02/09/2022,Alenquer - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,24,34,55,90,NE,Fracos/Moderados
03/09/2022,Alenquer - PA,Poucas nuvens a nublado,Estavel,24,33,55,90,NE,Fracos/Moderados
04/09/2022,Alenquer - PA,Poucas nuvens a parcialmente nublado,Estavel,24,34,55,90,NE,Fracos/Moderados
05/09/2022,Alenquer - PA,Poucas nuvens a parcialmente nublado,Estavel,24,33,50,90,NE,Fracos/Moderados
